class_type,wristX,wristY,wristZ,thumb_CmcX,thumb_CmcY,thumb_CmcZ,thumb_McpX,thumb_McpY,thumb_McpZ,thumb_IpX,thumb_IpY,thumb_IpZ,thumb_TipX,thumb_TipY,thumb_TipZ,index_McpX,index_McpY,index_McpZ,index_PipX,index_PipY,index_PipZ,index_DipX,index_DipY,index_DipZ,index_TipX,index_TipY,index_TipZ,middle_McpX,middle_McpY,middle_McpZ,middle_PipX,middle_PipY,middle_PipZ,middle_DipX,middle_DipY,middle_DipZ,middle_TipX,middle_TipY,middle_TipZ,ring_McpX,ring_McpY,ring_McpZ,ring_PipX,ring_PipY,ring_PipZ,ring_DipX,ring_DipY,ring_DipZ,ring_TipX,ring_TipY,ring_TipZ,pinky_McpX,pinky_McpY,pinky_McpZ,pinky_PipX,pinky_PipY,pinky_PipZ,pinky_DipX,pinky_DipY,pinky_DipZ,pinky_TipX,pinky_TipY,pinky_TipZ
A,166.28366708755493,221.4922308921814,-1.6284003550026682e-06,127.41014361381531,198.60559701919556,-0.04827750101685524,112.09562420845032,145.9878385066986,-0.050782930105924606,117.84565448760986,101.76455974578857,-0.05714498832821846,124.37215447425842,73.60348105430603,-0.04901524633169174,143.01468431949615,119.81102079153061,0.03578532114624977,151.04149281978607,90.03743529319763,-0.04339779540896416,146.71799540519714,121.47481739521027,-0.07585549354553223,145.08303999900818,137.35371828079224,-0.0828251913189888,168.8101291656494,127.64723598957062,0.02620171196758747,175.75307190418243,99.69335049390793,-0.052562061697244644,163.64392638206482,137.77054846286774,-0.06141149625182152,162.01192140579224,144.8269784450531,-0.042508695274591446,191.38702750205994,139.79560136795044,-0.003393851686269045,197.31122255325317,117.25212633609772,-0.09005126357078552,181.9823980331421,151.3577401638031,-0.0606754869222641,179.59655821323395,156.99803829193115,-0.014978657476603985,214.25271034240723,154.20657396316528,-0.038385048508644104,216.91247820854187,136.82769238948822,-0.08240634948015213,204.14893329143524,159.85143184661865,-0.051376208662986755,201.68155431747437,167.37741231918335,-0.01409055944532156
A,1696.4364051818848,2644.331216812134,-1.904489522530639e-06,1333.164006471634,2330.9433460235596,-0.061250004917383194,1399.285465478897,1691.4782524108887,-0.0715109184384346,1669.7548627853394,1206.1554193496704,-0.08028453588485718,1781.132698059082,868.023544549942,-0.0720573365688324,1846.1950421333313,1517.9067850112915,-0.006332327611744404,2115.970194339752,1196.3219046592712,-0.08808542788028717,1902.609944343567,1526.1261463165283,-0.1126658245921135,1796.0747480392456,1705.154836177826,-0.11387995630502701,2075.1187205314636,1732.7070236206055,-0.004598232917487621,2295.3765392303467,1493.9395487308502,-0.08866775035858154,1955.235242843628,1876.4700293540955,-0.08856239914894104,1904.586374759674,1918.889880180359,-0.06512194871902466,2254.2091012001038,1960.9567523002625,-0.021357664838433266,2447.20458984375,1776.0533094406128,-0.11352163553237915,2094.521462917328,2098.8610982894897,-0.07682915776968002,2041.9666171073914,2138.4658813476562,-0.029086800292134285,2435.4953169822693,2189.010500907898,-0.04395828768610954,2506.5994262695312,2124.518394470215,-0.09308555722236633,2253.235638141632,2329.317569732666,-0.06775331497192383,2215.905725955963,2359.9172830581665,-0.037087295204401016
A,1180.6858777999878,2737.201452255249,-1.7562024368089624e-06,821.5393424034119,2318.1872963905334,-0.015383834950625896,724.2254912853241,1775.605022907257,-0.020596882328391075,796.4131236076355,1348.9916324615479,-0.038631197065114975,839.4166231155396,1000.0662803649902,-0.045739106833934784,1145.1423168182373,1489.1752302646637,0.051700666546821594,1048.0352640151978,1146.9903588294983,-0.027415495365858078,952.4935483932495,1501.98894739151,-0.06133158132433891,998.4655380249023,1700.5283832550049,-0.06722614169120789,1379.8154890537262,1578.2859921455383,0.02899939753115177,1233.6487770080566,1253.891408443451,-0.05427467077970505,1097.4588990211487,1694.0127611160278,-0.06117112562060356,1217.5508737564087,1808.6569905281067,-0.0387926809489727,1598.9720821380615,1716.1821126937866,-0.009730638936161995,1419.0407395362854,1430.4032027721405,-0.09419912844896317,1277.390867471695,1839.651882648468,-0.055345866829156876,1410.1276695728302,1939.6582245826721,-0.001503649982623756,1818.5412883758545,1885.0969076156616,-0.05141466110944748,1621.889054775238,1645.9429264068604,-0.08954645693302155,1474.7742712497711,1920.3534722328186,-0.04970205947756767,1581.6450119018555,2031.30304813385,-0.004426703788340092
A,1512.6047730445862,2814.0549659729004,-1.944261839526007e-06,1049.0266978740692,2515.282452106476,-0.07586395740509033,897.0655202865601,1780.9817790985107,-0.08029147982597351,958.4959745407104,1195.776253938675,-0.07998839765787125,979.9849390983582,799.7505068778992,-0.0576770082116127,1255.7199597358704,1489.8501634597778,0.0055993907153606415,1368.8368499279022,1111.3406717777252,-0.07465262711048126,1316.766768693924,1561.2934827804565,-0.09422492235898972,1284.9850058555603,1732.418417930603,-0.09193573147058487,1608.7440848350525,1590.2527570724487,0.012638049200177193,1689.6196603775024,1302.0853400230408,-0.06866543740034103,1543.031930923462,1826.3415098190308,-0.06629198789596558,1508.7066292762756,1851.785123348236,-0.04107876867055893,1920.3203916549683,1743.8639402389526,-0.0024324730038642883,1994.8586225509644,1491.6038811206818,-0.09299773722887039,1818.196177482605,1957.678735256195,-0.052203670144081116,1785.1148843765259,1984.6844673156738,-0.0009830310009419918,2216.2885665893555,1911.584973335266,-0.02501552924513817,2262.1339559555054,1736.7432117462158,-0.07119983434677124,2101.5007495880127,2043.4670448303223,-0.03782819211483002,2070.344567298889,2095.937132835388,-0.0001378040324198082
A,1609.079360961914,2730.2622199058533,-1.6958052810878144e-06,1263.8332843780518,2426.0001182556152,-0.08789057284593582,1073.982059955597,1863.6953830718994,-0.11171215027570724,1116.6953444480896,1340.8022224903107,-0.1311655044555664,1338.1712436676025,1033.0863296985626,-0.12864166498184204,1393.3179080486298,1501.3604164123535,0.025907451286911964,1520.5514430999756,1235.735535621643,-0.04816200211644173,1463.9826714992523,1657.4528217315674,-0.07749061286449432,1456.5044939517975,1725.335419178009,-0.08906868100166321,1669.1610217094421,1560.5828762054443,0.039700157940387726,1787.1079444885254,1325.23512840271,-0.041486628353595734,1662.514328956604,1798.3092069625854,-0.04814024269580841,1631.421446800232,1754.547357559204,-0.030680915340781212,1922.2610592842102,1671.1669564247131,0.029407788068056107,2051.1730313301086,1459.4440162181854,-0.05792367830872536,1896.3264226913452,1859.9748015403748,-0.029344182461500168,1858.364224433899,1830.5169939994812,0.012429281137883663,2181.5173029899597,1806.5589666366577,0.009837930090725422,2250.31578540802,1658.3992838859558,-0.0336165651679039,2107.0046424865723,1924.9520301818848,-0.010883921757340431,2057.619273662567,1942.0382380485535,0.01784118451178074
A,1291.0489439964294,2417.2403812408447,-2.097080596286105e-06,873.595654964447,2279.8022031784058,-0.07228468358516693,718.0597186088562,1602.0255088806152,-0.07587101310491562,860.4198396205902,1026.099979877472,-0.07485023140907288,1012.5191509723663,711.9141072034836,-0.05635995417833328,1094.189465045929,1273.4838724136353,0.006988781038671732,1290.179282426834,932.9484701156616,-0.07740167528390884,1195.673257112503,1320.500671863556,-0.10478348284959793,1126.8986463546753,1470.468521118164,-0.10667791217565536,1379.8354268074036,1414.4718647003174,0.01870284043252468,1549.174726009369,1125.7392168045044,-0.06854400038719177,1376.843512058258,1610.331952571869,-0.072136789560318,1308.2219660282135,1621.9913363456726,-0.04893726855516434,1633.8860392570496,1552.2767901420593,0.008672046475112438,1777.0662903785706,1340.999275445938,-0.09460964798927307,1578.1477689743042,1787.4780893325806,-0.06891018152236938,1505.600094795227,1798.1053590774536,-0.024392850697040558,1898.9058136940002,1662.980318069458,-0.006532670930027962,1972.9599952697754,1533.4956049919128,-0.06264332681894302,1823.3942985534668,1856.3586473464966,-0.041763659566640854,1773.5143303871155,1906.811535358429,-0.012529273517429829
A,1078.3544182777405,2099.67577457428,-1.3378642051975476e-06,749.7070133686066,2010.4351043701172,-0.11104466766119003,628.0558258295059,1577.3752927780151,-0.15703994035720825,675.379604101181,1199.720710515976,-0.1886836588382721,708.6517810821533,874.8194575309753,-0.20408199727535248,930.5820465087891,1342.0959413051605,-0.10434999316930771,1095.6480503082275,1084.8987400531769,-0.2054188996553421,1091.5631353855133,1431.407243013382,-0.2398374080657959,1051.4379143714905,1619.3962097167969,-0.24709990620613098,1250.001311302185,1446.1669921875,-0.08701220154762268,1409.2369973659515,1273.2658088207245,-0.20510795712471008,1300.6182610988617,1700.3767490386963,-0.22236312925815582,1199.9457478523254,1811.3508224487305,-0.20911546051502228,1495.3962564468384,1564.7152662277222,-0.08584492653608322,1642.0571208000183,1467.4305617809296,-0.20522791147232056,1486.208975315094,1857.9161167144775,-0.17762339115142822,1364.2797768115997,1934.3122243881226,-0.13181428611278534,1684.0378046035767,1677.5414943695068,-0.09243376553058624,1810.6757998466492,1650.637149810791,-0.16855177283287048,1687.5847578048706,1925.4909753799438,-0.1478872299194336,1564.3324255943298,2004.85360622406,-0.11582596600055695
A,1346.0964560508728,2199.3305683135986,-1.5029058886284474e-06,1012.947678565979,1883.3266496658325,-0.13969869911670685,1079.451709985733,1278.1038880348206,-0.19378508627414703,1260.3899538516998,823.3269453048706,-0.22653573751449585,1275.8367955684662,413.82211446762085,-0.24373184144496918,1535.2978706359863,1142.73002743721,-0.1723698079586029,1749.4815587997437,885.1901292800903,-0.28109675645828247,1647.231101989746,1303.2748997211456,-0.3180886507034302,1472.411870956421,1629.0507316589355,-0.32389456033706665,1882.3542594909668,1385.3116929531097,-0.14352074265480042,2085.282325744629,1234.1011762619019,-0.2871881425380707,1855.472445487976,1712.884783744812,-0.31560254096984863,1603.1162738800049,2009.164273738861,-0.30418121814727783,2118.989646434784,1622.6105690002441,-0.12784366309642792,2297.996163368225,1605.1574349403381,-0.2715129554271698,2001.989185810089,2028.834879398346,-0.2570091187953949,1715.2057886123657,2257.6326727867126,-0.21173004806041718,2271.4213728904724,1833.0384492874146,-0.12029759585857391,2450.232982635498,1846.0670113563538,-0.22193241119384766,2227.0342111587524,2109.2787981033325,-0.21066655218601227,1990.7130002975464,2241.425335407257,-0.17824678122997284
A,1818.604052066803,2897.4085450172424,-2.194400394728291e-06,1372.1546530723572,2472.3222255706787,-0.0055560278706252575,1318.4705972671509,1865.502119064331,0.005690618883818388,1461.7005586624146,1402.5834202766418,0.001502045663073659,1488.9307022094727,1053.6880195140839,0.005222102161496878,1714.2852544784546,1650.6491303443909,0.07409597933292389,1760.2572441101074,1208.9210450649261,-0.00033718085614964366,1648.6279964447021,1561.4628195762634,-0.04318775236606598,1612.7792000770569,1885.0942254066467,-0.05441761389374733,1987.399935722351,1769.0445184707642,0.047269556671381,1978.4438610076904,1327.937364578247,-0.040947120636701584,1833.9369893074036,1803.8590550422668,-0.06602156907320023,1820.5724358558655,2150.424063205719,-0.05123010650277138,2246.2027072906494,1925.1433610916138,0.006000882480293512,2194.9843168258667,1569.660723209381,-0.08359003812074661,2013.2149457931519,2048.7645864486694,-0.06009230390191078,1986.3917827606201,2376.1078119277954,-0.010804717428982258,2530.2640199661255,2129.712224006653,-0.03703473508358002,2432.0801496505737,1804.3779730796814,-0.08649241179227829,2258.1692934036255,2109.7222566604614,-0.05598028749227524,2234.0460419654846,2348.8547801971436,-0.013880409300327301
B,88.78927230834961,131.972998380661,1.1693117585309665e-06,72.30912744998932,119.78051662445068,-0.05087605118751526,66.20099544525146,97.52140939235687,-0.07815763354301453,76.50647163391113,81.26344084739685,-0.10307981073856354,91.47950112819672,81.64723813533783,-0.1299537867307663,75.49523413181305,77.56747305393219,-0.04400968924164772,78.46923172473907,54.54431176185608,-0.0828481987118721,81.11398816108704,40.073731541633606,-0.1192391961812973,83.91367793083191,27.565692365169525,-0.148373082280159,86.7019772529602,76.55785381793976,-0.052101727575063705,89.96687829494476,50.612957775592804,-0.08279772847890854,92.74077415466309,33.963873982429504,-0.11485893279314041,94.82043385505676,19.736239314079285,-0.13935300707817078,96.98043465614319,80.0138533115387,-0.06713823974132538,99.81039762496948,56.17715120315552,-0.09438077360391617,102.28699743747711,40.704211592674255,-0.12229350954294205,103.9713442325592,28.245238959789276,-0.14324404299259186,107.22773373126984,86.6626113653183,-0.08863082528114319,109.11321938037872,68.1679755449295,-0.11102457344532013,109.95370745658875,55.71228861808777,-0.12401643395423889,109.96247828006744,45.58924734592438,-0.13514725863933563
